model,temperature,n_sequences,mean_durbin_watson,pct_significant_ljungbox,mean_acf_lag1,mean_burst_length,mean_hallucination_rate
large-model-C,0.2,50,1.8933159442060372,0.02,0.019459120774910257,0.89,0.066
large-model-C,0.7,50,1.7801925497294435,0.02,0.09044139829421048,0.9873333333333334,0.08199999999999999
large-model-C,1.0,50,1.767532862841493,0.1,0.08889025448235974,1.2056666666666667,0.11200000000000002
small-model-A,0.2,50,1.3628262475398698,0.24,0.27463778743055905,2.1376666666666666,0.201
small-model-A,0.7,50,1.3742018670483134,0.18,0.26053065142781123,2.159666666666667,0.229
small-model-A,1.0,50,1.2154902502915392,0.3,0.34544623052789486,2.495,0.256
small-model-B,0.2,50,1.6602795359455307,0.12,0.15176836637254956,1.396,0.11599999999999999
small-model-B,0.7,50,1.692327602290354,0.1,0.1236494455800764,1.495,0.154
small-model-B,1.0,50,1.607538833906223,0.02,0.15601997293689765,1.6716666666666666,0.205
